;15-19;20-24;25-29;30-34;35-39;40-44;45-49;50-54;55-59;60-64
Auvergne-Rhône-Alpes;485276;449732;464310;491131;502602;517222;541625;533393;495063;468992
Bourgogne-Franche-Comté;165351;142065;147005;157128;163058;172758;187988;190528;189655;187796
Bretagne;205067;171905;168826;183520;197579;212560;223637;222009;219162;216110
Centre-Val-de-Loire;152787;124969;134885;144457;149447;162409;174282;173410;170351;168252
Corse;16906;15917;18561;20388;21298;22257;24092;23738;22317;21978
Grand Est;337229;315229;326045;337624;339819;350547;378730;389697;378036;361735
Hauts-de-France;396206;358314;359358;377025;378022;388639;394847;394494;381045;362672
Île-de-France;750256;789161;891994;880516;867134;851796;826175;802475;722379;621797
Normandie;206882;178004;180526;191629;195916;206843;219823;223138;221465;219739
Nouvelle-Aquitaine;343796;302243;302922;324565;350014;377365;403102;404872;400193;404635
Occitanie;349238;319295;317209;333283;353093;364335;392622;396846;380725;373683
Pays de la Loire;236379;199886;202390;220660;233762;244331;249202;244391;236561;231815
Provence-Alpes-Côte d'Azur;287537;260186;272019;290451;302958;313519;338973;346028;326822;314785